Order ID,Product ID,Unit quantity,Weight
1447296446.7,1700106,808,14.3
1447158014.7,1700106,3188,87.94
1447138898.7,1700106,2331,61.2
1447363527.7,1700106,847,16.16
1447363980.7,1700106,2163,52.34
1447351440.7,1700106,3332,92.8
1447320235.7,1700106,1782,46.9
1447158018.7,1700106,427,2.86
1447219340.7,1700106,1291,26.6
1447398415.7,1700106,2294,62.2
1447381678.7,1700106,2766,75.5
1447170784.7,1700106,798,14.3
1447155055.7,1697884,739,73.9
1447257264.7,1697884,280,7.8
1447240988.7,1697884,574,59.5
1447257230.7,1697884,556,52.7
1447260652.7,1697884,544,58.5
1447139374.7,1697884,1151,181.7
1447308589.7,1697884,1404,227.2
1447191270.7,1697884,662,74.1
1447191283.7,1699336,836,80.43
1447352425.7,1702652,2063,265.1
1447211828.7,1699337,2114,267.1
1447232832.7,1699337,2108,271.1
1447205080.7,1699336,1120,112.6
1447365979.7,1702654,706,61.8
1447157117.7,1699336,889,107.88
1447398412.7,1702652,1793,216.57
1447377318.7,1702652,491,27.81
1447257238.7,1699337,1044,112.6
1447368958.7,1702653,447,32.9
1447308590.7,1699336,328,13.36
1447398478.7,1702652,973,106.88
1447377315.7,1702652,1179,129.14
1447365992.7,1702653,814,74.25
1447223050.7,1699336,1464,171.22
1447260685.7,1699337,347,6.18
1447299201.7,1699336,771,77.25
1447330060.7,1702652,469,27.9
1447260669.7,1699336,382,15.45
1447157118.7,1699337,507,43.17
1447205081.7,1699336,419,16.45
1447398411.7,1702654,452,33.9
1447257237.7,1699336,486,24.72
1447241002.7,1699336,729,60.8
1447398480.7,1702652,366,19.54
1447398419.7,1702653,539,43.26
1447308591.7,1699337,304,9.27
1447241004.7,1699337,544,46.35
1447191287.7,1699337,679,65.8
1447232830.7,1699336,868,101.7
1447377316.7,1702654,672,66.8
1447211551.7,1699336,890,84.7
1447257265.7,1699336,801,78.34
1447365978.7,1702652,605,46.35
1447299202.7,1699337,897,89.7
1447257424.7,1697883,840,83.4
1447260632.7,1697883,631,50.68
1447296447.7,1700035,1287,15.4
1447363576.7,1700035,3308,48.2
1447320236.7,1700035,2233,31.26
1447202430.7,1700035,1276,16.4
1447211552.7,1700035,1325,14.4
1447219351.7,1700035,735,7.7
1447320234.7,1700035,1294,16.4
1447158019.7,1700035,696,6.16
1447260608.7,1700035,3333,42.2
1447158013.7,1700035,2928,38.04
1447191274.7,1700035,1279,14.4
1447170785.7,1700035,1320,16.4
1447138896.7,1700035,2285,32.8
1447240998.7,1700035,1819,23.1
1447320233.7,1700035,339,1.54
1447351441.7,1700035,4302,66.6
1447381679.7,1700035,3322,42.2
1447178727.7,1700035,781,7.7
1447398416.7,1700035,3266,43.2
1447191279.7,1697317,2716,457.16
1447308638.7,1696799,1498,245.08
1447155060.7,1696799,617,54.52
1447155062.7,1696799,898,113.04
1447260618.7,1696799,555,56.52
1447398414.7,1697317,4377,820.44
1447191290.7,1697317,540,60.52
1447202233.7,1697317,887,121.04
1447260619.7,1696799,1803,302.6
1447143191.7,1697317,936,144.88
1447241007.7,1697317,2040,368.12
1447155058.7,1696799,3003,498.68
1447232833.7,1697317,2095,384.12
1447178729.7,1696799,2034,337.12
1447308637.7,1696799,973,136.88
1447143210.7,1697317,529,37.68
1447254053.7,1696799,2992,525.68
1447170786.7,1696799,2066,369.12
1447219266.7,1696799,3914,644.24
1447296451.7,1697317,1222,164.56
1447232835.7,1696799,3876,717.24
1447138894.7,1697317,2079,345.12
1447178730.7,1697317,1136,184.56
1447138904.7,1696799,3931,777.24
1447211522.7,1696799,2393,434.64
1447364331.7,1697317,1655,257.76
1447260625.7,1697317,2078,345.12
1447398417.7,1697317,946,148.88
1447308587.7,1697317,2120,335.12
1447202439.7,1697317,1230,195.56
1447351442.7,1697317,2115,344.12
1447158020.7,1696799,2045,346.12
1447316597.7,1697317,935,134.88
1447155063.7,1697317,2943,540.68
1447329978.7,1697317,2936,567.68
1447191277.7,1696799,2985,484.68
1447373138.7,1697317,2938,521.68
1447363981.7,1697317,716,83.36
1447211523.7,1696799,4464,813.28
1447202438.7,1696799,2109,331.12
1447241229.7,1696799,2978,504.68
1447143196.7,1696799,2100,333.12
1447158021.7,1697317,2066,341.12
